,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021700655,1610612759,Spurs,SAS,San Antonio,240:00,0.47,0.378,0.092,0.146,0.5,0.217,0.142,0.146
1,0021700655,1610612751,Nets,BKN,Brooklyn,240:00,0.5,0.217,0.142,0.146,0.47,0.378,0.092,0.146
2,0021700654,1610612740,Pelicans,NOP,New Orleans,240:00,0.5,0.238,0.15,0.225,0.472,0.146,0.117,0.261
3,0021700654,1610612737,Hawks,ATL,Atlanta,240:00,0.472,0.146,0.117,0.261,0.5,0.238,0.15,0.225
4,0021700657,1610612744,Warriors,GSW,Golden State,240:00,0.577,0.298,0.143,0.125,0.472,0.123,0.101,0.241
5,0021700657,1610612741,Bulls,CHI,Chicago,240:00,0.472,0.123,0.101,0.241,0.577,0.298,0.143,0.125
6,0021700656,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.288,0.212,0.279,0.477,0.17,0.152,0.229
7,0021700656,1610612765,Pistons,DET,Detroit,240:00,0.477,0.17,0.152,0.229,0.494,0.288,0.212,0.279
8,0021700651,1610612743,Nuggets,DEN,Denver,240:00,0.512,0.302,0.187,0.333,0.538,0.282,0.162,0.135
9,0021700651,1610612742,Mavericks,DAL,Dallas,240:00,0.538,0.282,0.162,0.135,0.512,0.302,0.187,0.333
10,0021700650,1610612740,Pelicans,NOP,New Orleans,265:00,0.485,0.25,0.133,0.241,0.49,0.158,0.165,0.222
11,0021700650,1610612738,Celtics,BOS,Boston,265:00,0.49,0.158,0.165,0.222,0.485,0.25,0.133,0.241
12,0021700653,1610612764,Wizards,WAS,Washington,240:00,0.567,0.28,0.158,0.163,0.566,0.265,0.094,0.283
13,0021700653,1610612766,Hornets,CHA,Charlotte,240:00,0.566,0.265,0.094,0.283,0.567,0.28,0.158,0.163
14,0021700652,1610612757,Trail Blazers,POR,Portland,240:00,0.599,0.11,0.104,0.225,0.506,0.247,0.13,0.261
15,0021700652,1610612756,Suns,PHX,Phoenix,240:00,0.506,0.247,0.13,0.261,0.599,0.11,0.104,0.225
16,0021700659,1610612749,Bucks,MIL,Milwaukee,240:00,0.507,0.421,0.105,0.122,0.524,0.329,0.152,0.233
17,0021700659,1610612748,Heat,MIA,Miami,240:00,0.524,0.329,0.152,0.233,0.507,0.421,0.105,0.122
18,0021700658,1610612752,Knicks,NYK,New York,240:00,0.47,0.28,0.149,0.293,0.505,0.187,0.126,0.313
19,0021700658,1610612763,Grizzlies,MEM,Memphis,240:00,0.505,0.187,0.126,0.313,0.47,0.28,0.149,0.293
20,0021600335,1610612762,Jazz,UTA,Utah,240:00,0.472,0.236,0.148,0.24,0.563,0.288,0.173,0.209
21,0021600335,1610612744,Warriors,GSW,Golden State,240:00,0.563,0.288,0.173,0.209,0.472,0.236,0.148,0.24
22,0021600334,1610612755,76ers,PHI,Philadelphia,240:00,0.495,0.143,0.104,0.234,0.435,0.262,0.127,0.239
23,0021600334,1610612740,Pelicans,NOP,New Orleans,240:00,0.435,0.262,0.127,0.239,0.495,0.143,0.104,0.234
24,0021600337,1610612753,Magic,ORL,Orlando,240:00,0.423,0.154,0.083,0.164,0.535,0.271,0.137,0.295
25,0021600337,1610612766,Hornets,CHA,Charlotte,240:00,0.535,0.271,0.137,0.295,0.423,0.154,0.083,0.164
26,0021600336,1610612759,Spurs,SAS,San Antonio,240:00,0.448,0.052,0.137,0.216,0.463,0.338,0.198,0.256
27,0021600336,1610612741,Bulls,CHI,Chicago,240:00,0.463,0.338,0.198,0.256,0.448,0.052,0.137,0.216
28,0021600331,1610612761,Raptors,TOR,Toronto,240:00,0.563,0.379,0.095,0.372,0.563,0.17,0.151,0.381
29,0021600331,1610612750,Timberwolves,MIN,Minnesota,240:00,0.563,0.17,0.151,0.381,0.563,0.379,0.095,0.372
30,0021600330,1610612746,Clippers,LAC,LA,240:00,0.435,0.261,0.132,0.333,0.511,0.326,0.1,0.286
31,0021600330,1610612744,Warriors,GSW,Golden State,240:00,0.511,0.326,0.1,0.286,0.435,0.261,0.132,0.333
32,0021600333,1610612757,Trail Blazers,POR,Portland,240:00,0.348,0.488,0.122,0.232,0.391,0.345,0.132,0.278
33,0021600333,1610612763,Grizzlies,MEM,Memphis,240:00,0.391,0.345,0.132,0.278,0.348,0.488,0.122,0.232
34,0021600332,1610612764,Wizards,WAS,Washington,240:00,0.487,0.218,0.197,0.205,0.454,0.316,0.286,0.341
35,0021600332,1610612743,Nuggets,DEN,Denver,240:00,0.454,0.316,0.286,0.341,0.487,0.218,0.197,0.205
36,0021600339,1610612761,Raptors,TOR,Toronto,240:00,0.47,0.329,0.114,0.174,0.476,0.265,0.142,0.16
37,0021600339,1610612738,Celtics,BOS,Boston,240:00,0.476,0.265,0.142,0.16,0.47,0.329,0.114,0.174
38,0021600338,1610612748,Heat,MIA,Miami,240:00,0.378,0.233,0.164,0.39,0.608,0.229,0.12,0.324
39,0021600338,1610612739,Cavaliers,CLE,Cleveland,240:00,0.608,0.229,0.12,0.324,0.378,0.233,0.164,0.39
40,0021700013,1610612758,Kings,SAC,Sacramento,240:00,0.523,0.114,0.155,0.0,0.47,0.349,0.128,0.0
41,0021700013,1610612745,Rockets,HOU,Houston,240:00,0.47,0.349,0.128,0.0,0.523,0.114,0.155,0.0
42,0021700012,1610612757,Trail Blazers,POR,Portland,240:00,0.567,0.311,0.135,0.0,0.354,0.202,0.142,0.0
43,0021700012,1610612756,Suns,PHX,Phoenix,240:00,0.354,0.202,0.142,0.0,0.567,0.311,0.135,0.0
44,0021700011,1610612759,Spurs,SAS,San Antonio,240:00,0.506,0.213,0.114,0.279,0.482,0.271,0.134,0.224
45,0021700011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.482,0.271,0.134,0.224,0.506,0.213,0.114,0.279
46,0021700010,1610612762,Jazz,UTA,Utah,240:00,0.562,0.198,0.155,0.162,0.552,0.156,0.218,0.189
47,0021700010,1610612743,Nuggets,DEN,Denver,240:00,0.552,0.156,0.218,0.189,0.562,0.198,0.155,0.162
48,0021700017,1610612766,Hornets,CHA,Charlotte,240:00,0.494,0.349,0.175,0.0,0.416,0.147,0.114,0.0
49,0021700017,1610612737,Hawks,ATL,Atlanta,240:00,0.416,0.147,0.114,0.0,0.494,0.349,0.175,0.0
50,0021700016,1610612747,Lakers,LAL,Los Angeles,240:00,0.429,0.253,0.158,0.0,0.449,0.121,0.11,0.0
51,0021700016,1610612746,Clippers,LAC,LA,240:00,0.449,0.121,0.11,0.0,0.429,0.253,0.158,0.0
52,0021700015,1610612760,Thunder,OKC,Oklahoma City,240:00,0.494,0.244,0.153,0.0,0.449,0.241,0.222,0.0
53,0021700015,1610612752,Knicks,NYK,New York,240:00,0.449,0.241,0.222,0.0,0.494,0.244,0.153,0.0
54,0021700014,1610612761,Raptors,TOR,Toronto,240:00,0.548,0.337,0.151,0.0,0.472,0.202,0.164,0.0
55,0021700014,1610612741,Bulls,CHI,Chicago,240:00,0.472,0.202,0.164,0.0,0.548,0.337,0.151,0.0
56,0021700019,1610612755,76ers,PHI,Philadelphia,240:00,0.435,0.174,0.167,0.255,0.476,0.381,0.184,0.298
57,0021700019,1610612738,Celtics,BOS,Boston,240:00,0.476,0.381,0.184,0.298,0.435,0.174,0.167,0.255
58,0021700018,1610612757,Trail Blazers,POR,Portland,240:00,0.532,0.179,0.081,0.0,0.474,0.423,0.115,0.0
59,0021700018,1610612754,Pacers,IND,Indiana,240:00,0.474,0.423,0.115,0.0,0.532,0.179,0.081,0.0
60,0021700716,1610612762,Jazz,UTA,Utah,240:00,0.471,0.241,0.131,0.217,0.426,0.179,0.113,0.302
61,0021700716,1610612761,Raptors,TOR,Toronto,240:00,0.426,0.179,0.113,0.302,0.471,0.241,0.131,0.217
62,0021600029,1610612753,Magic,ORL,Orlando,240:00,0.5,0.31,0.203,0.325,0.472,0.341,0.093,0.26
63,0021600029,1610612739,Cavaliers,CLE,Cleveland,240:00,0.472,0.341,0.093,0.26,0.5,0.31,0.203,0.325
64,0021600028,1610612752,Knicks,NYK,New York,240:00,0.566,0.513,0.13,0.171,0.483,0.302,0.122,0.239
65,0021600028,1610612763,Grizzlies,MEM,Memphis,240:00,0.483,0.302,0.122,0.239,0.566,0.513,0.13,0.171
66,0021600021,1610612756,Suns,PHX,Phoenix,265:00,0.473,0.34,0.129,0.14,0.443,0.396,0.182,0.275
67,0021600021,1610612760,Thunder,OKC,Oklahoma City,265:00,0.443,0.396,0.182,0.275,0.473,0.34,0.129,0.14
68,0021600020,1610612753,Magic,ORL,Orlando,240:00,0.389,0.126,0.094,0.241,0.542,0.063,0.119,0.231
69,0021600020,1610612765,Pistons,DET,Detroit,240:00,0.542,0.063,0.119,0.231,0.389,0.126,0.094,0.241
70,0021600023,1610612745,Rockets,HOU,Houston,240:00,0.579,0.443,0.195,0.152,0.488,0.3,0.106,0.143
71,0021600023,1610612742,Mavericks,DAL,Dallas,240:00,0.488,0.3,0.106,0.143,0.579,0.443,0.195,0.152
72,0021600022,1610612748,Heat,MIA,Miami,240:00,0.453,0.233,0.193,0.234,0.418,0.261,0.082,0.241
73,0021600022,1610612766,Hornets,CHA,Charlotte,240:00,0.418,0.261,0.082,0.241,0.453,0.233,0.193,0.234
74,0021600025,1610612740,Pelicans,NOP,New Orleans,240:00,0.495,0.23,0.133,0.231,0.533,0.308,0.129,0.196
75,0021600025,1610612744,Warriors,GSW,Golden State,240:00,0.533,0.308,0.129,0.196,0.495,0.23,0.133,0.231
76,0021600024,1610612762,Jazz,UTA,Utah,240:00,0.453,0.533,0.15,0.289,0.435,0.25,0.171,0.244
77,0021600024,1610612747,Lakers,LAL,Los Angeles,240:00,0.435,0.25,0.171,0.244,0.453,0.533,0.15,0.289
78,0021600027,1610612766,Hornets,CHA,Charlotte,240:00,0.462,0.418,0.093,0.136,0.574,0.21,0.133,0.111
79,0021600027,1610612738,Celtics,BOS,Boston,240:00,0.574,0.21,0.133,0.111,0.462,0.418,0.093,0.136
80,0021600026,1610612755,76ers,PHI,Philadelphia,240:00,0.381,0.188,0.195,0.089,0.524,0.271,0.119,0.146
81,0021600026,1610612737,Hawks,ATL,Atlanta,240:00,0.524,0.271,0.119,0.146,0.381,0.188,0.195,0.089
82,0021601004,1610612764,Wizards,WAS,Washington,240:00,0.561,0.256,0.122,0.125,0.595,0.316,0.105,0.119
83,0021601004,1610612742,Mavericks,DAL,Dallas,240:00,0.595,0.316,0.105,0.119,0.561,0.256,0.122,0.125
84,0021601005,1610612754,Pacers,IND,Indiana,240:00,0.616,0.123,0.169,0.1,0.419,0.163,0.108,0.071
