,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
313,2017-11-07T00:00:00,9,0021700157,1610612757,Portland,6-5,21.0,29.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.444,0.95,0.316,11.0,42.0,16.0,240:00,0.48100000000000004,0.247,0.16699999999999998,0.256,0.527,0.342,0.16,0.135,POR,l,-1.0
306,2017-11-07T00:00:00,6,0021700154,1610612746,LA,5-5,26.0,29.0,21.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.512,0.706,0.36700000000000005,20.0,39.0,17.0,240:00,0.579,0.207,0.185,0.263,0.625,0.226,0.138,0.275,LAC,l,-13.0
307,2017-11-07T00:00:00,6,0021700154,1610612759,San Antonio,7-4,32.0,20.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.536,0.789,0.536,33.0,39.0,13.0,240:00,0.625,0.226,0.138,0.275,0.579,0.207,0.185,0.263,SAS,w,13.0
308,2017-11-07T00:00:00,7,0021700155,1610612751,Brooklyn,4-7,21.0,25.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.42700000000000005,0.773,0.314,22.0,47.0,25.0,240:00,0.489,0.247,0.21600000000000003,0.174,0.522,0.215,0.17,0.188,BKN,l,-8.0
309,2017-11-07T00:00:00,7,0021700155,1610612743,Denver,6-5,28.0,29.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.473,0.75,0.265,26.0,47.0,19.0,240:00,0.522,0.215,0.17,0.188,0.489,0.247,0.21600000000000003,0.174,DEN,w,8.0
776,2017-12-10T00:00:00,5,0021700389,1610612755,Philadelphia,13-13,26.0,29.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.45799999999999996,0.9,0.31,26.0,47.0,17.0,240:00,0.505,0.313,0.163,0.44,0.669,0.4,0.14400000000000002,0.16699999999999998,PHI,l,-7.0
777,2017-12-10T00:00:00,5,0021700389,1610612740,New Orleans,14-13,32.0,34.0,21.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.575,0.75,0.625,31.0,33.0,14.0,240:00,0.669,0.4,0.14400000000000002,0.16699999999999998,0.505,0.313,0.163,0.44,NOP,w,7.0
1418,2018-01-25T00:00:00,1,0021700710,1610612758,Sacramento,15-33,19.0,28.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.469,0.5710000000000001,0.41700000000000004,17.0,38.0,13.0,240:00,0.5,0.17300000000000001,0.13699999999999998,0.114,0.451,0.22,0.17,0.175,SAC,w,1.0
1419,2018-01-25T00:00:00,1,0021700710,1610612748,Miami,27-21,17.0,30.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.37799999999999995,0.778,0.353,19.0,46.0,13.0,240:00,0.451,0.22,0.17,0.175,0.5,0.17300000000000001,0.13699999999999998,0.114,MIA,l,-1.0
774,2017-12-10T00:00:00,4,0021700388,1610612742,Dallas,7-20,24.0,24.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.457,0.778,0.355,23.0,33.0,10.0,240:00,0.525,0.111,0.122,0.14300000000000002,0.5489999999999999,0.319,0.198,0.25,DAL,l,-5.0
775,2017-12-10T00:00:00,4,0021700388,1610612750,Minnesota,16-11,23.0,24.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.5,0.7829999999999999,0.368,19.0,45.0,18.0,240:00,0.5489999999999999,0.319,0.198,0.25,0.525,0.111,0.122,0.14300000000000002,MIN,w,5.0
1420,2018-01-25T00:00:00,2,0021700711,1610612764,Washington,26-22,20.0,20.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.488,0.75,0.457,25.0,39.0,23.0,240:00,0.581,0.18600000000000003,0.221,0.308,0.569,0.33299999999999996,0.139,0.325,WAS,l,-9.0
1421,2018-01-25T00:00:00,2,0021700711,1610612760,Oklahoma City,28-20,25.0,29.0,28.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.517,0.759,0.33299999999999996,18.0,40.0,14.0,240:00,0.569,0.33299999999999996,0.139,0.325,0.581,0.18600000000000003,0.221,0.308,OKC,w,9.0
